country,year,population,continent,life_expectancy_years,gdp_per_capita_usd,population_billions
Ghana,1952,5581001.0,Africa,43.149,911.2989371,0.005581001
Ghana,1957,6391288.0,Africa,44.779,1043.561537,0.006391288
Ghana,1962,7355248.0,Africa,46.452,1190.041118,0.007355248
Ghana,1967,8490213.0,Africa,48.072,1125.69716,0.008490213
Ghana,1972,9354120.0,Africa,49.875,1178.223708,0.00935412
Ghana,1977,10538093.0,Africa,51.756,993.2239571,0.010538093
Ghana,1982,11400338.0,Africa,53.744,876.032569,0.011400338
Ghana,1987,14168101.0,Africa,55.729,847.0061135,0.014168101
Ghana,1992,16278738.0,Africa,57.501,925.060154,0.016278738
Ghana,1997,18418288.0,Africa,58.556,1005.245812,0.018418288
Ghana,2002,20550751.0,Africa,58.453,1111.984578,0.020550751
Ghana,2007,22873338.0,Africa,60.022,1327.60891,0.022873338
Kenya,1952,6464046.0,Africa,42.27,853.540919,0.006464046
Kenya,1957,7454779.0,Africa,44.686,944.4383152,0.007454779
Kenya,1962,8678557.0,Africa,47.949,896.9663732,0.008678557
Kenya,1967,10191512.0,Africa,50.654,1056.736457,0.010191512
Kenya,1972,12044785.0,Africa,53.559,1222.359968,0.012044785
Kenya,1977,14500404.0,Africa,56.155,1267.613204,0.014500404
Kenya,1982,17661452.0,Africa,58.766,1348.225791,0.017661452
Kenya,1987,21198082.0,Africa,59.339,1361.936856,0.021198082
Kenya,1992,25020539.0,Africa,59.285,1341.921721,0.025020539
Kenya,1997,28263827.0,Africa,54.407,1360.485021,0.028263827
Kenya,2002,31386842.0,Africa,50.992,1287.514732,0.031386842
Kenya,2007,35610177.0,Africa,54.11,1463.249282,0.035610177
Nigeria,1952,33119096.0,Africa,36.324,1077.281856,0.033119096
Nigeria,1957,37173340.0,Africa,37.802,1100.592563,0.03717334
Nigeria,1962,41871351.0,Africa,39.36,1150.927478,0.041871351
Nigeria,1967,47287752.0,Africa,41.04,1014.514104,0.047287752
Nigeria,1972,53740085.0,Africa,42.821,1698.388838,0.053740085
Nigeria,1977,62209173.0,Africa,44.514,1981.951806,0.062209173
Nigeria,1982,73039376.0,Africa,45.826,1576.97375,0.073039376
Nigeria,1987,81551520.0,Africa,46.886,1385.029563,0.08155152
Nigeria,1992,93364244.0,Africa,47.472,1619.848217,0.093364244
Nigeria,1997,106207839.0,Africa,47.464,1624.941275,0.106207839
Nigeria,2002,119901274.0,Africa,46.608,1615.286395,0.119901274
Nigeria,2007,135031164.0,Africa,46.859,2013.977305,0.135031164
South Africa,1952,14264935.0,Africa,45.009,4725.295531,0.014264935
South Africa,1957,16151549.0,Africa,47.985,5487.104219,0.016151549
South Africa,1962,18356657.0,Africa,49.951,5768.729717,0.018356657
South Africa,1967,20997321.0,Africa,51.927,7114.477971,0.020997321
South Africa,1972,23935810.0,Africa,53.696,7765.962636,0.02393581
South Africa,1977,27129932.0,Africa,55.527,8028.651439,0.027129932
South Africa,1982,31140029.0,Africa,58.161,8568.266228,0.031140029
South Africa,1987,35933379.0,Africa,60.834,7825.823398,0.035933379
South Africa,1992,39964159.0,Africa,61.888,7225.069258,0.039964159
South Africa,1997,42835005.0,Africa,60.236,7479.188244,0.042835005
South Africa,2002,44433622.0,Africa,53.365,7710.946444,0.044433622
South Africa,2007,43997828.0,Africa,49.339,9269.657808,0.043997828
